VTX, IDX, in_ATTRIBUTE0.x, in_ATTRIBUTE0.y, in_ATTRIBUTE0.z, in_ATTRIBUTE1.x, in_ATTRIBUTE1.y, in_ATTRIBUTE1.z, in_ATTRIBUTE1.w, in_ATTRIBUTE2.x, in_ATTRIBUTE2.y, in_ATTRIBUTE2.z, in_ATTRIBUTE2.w, in_ATTRIBUTE4.x, in_ATTRIBUTE4.y, in_ATTRIBUTE8.x, in_ATTRIBUTE8.y, in_ATTRIBUTE8.z, in_ATTRIBUTE8.w, in_ATTRIBUTE9.x, in_ATTRIBUTE9.y, in_ATTRIBUTE9.z, in_ATTRIBUTE9.w, in_ATTRIBUTE10.x, in_ATTRIBUTE10.y, in_ATTRIBUTE10.z, in_ATTRIBUTE10.w, in_ATTRIBUTE11.x, in_ATTRIBUTE11.y, in_ATTRIBUTE11.z, in_ATTRIBUTE11.w
914, 183, -295.87607,  278.7366,  78.93005,  0.77165,  0.00,  0.6378,  1.00, -0.62205,  0.19685,  0.75591,  1.00,  0.25903,  0.72656,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
915, 180, -276.14807,  297.84863,  87.76238,  0.68504,  0.00,  0.72441,  1.00, -0.72441,  0.11024,  0.68504,  1.00,  0.27515,  0.74219,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
916, 185, -306.47153,  331.68491,  65.69424,  0.76378,  0.00787,  0.6378,  1.00, -0.51969,  0.59055,  0.61417,  1.00,  0.25024,  0.77002,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
917, 154, -275.22339,  322.93768,  111.65262,  0.77953,  0.00,  0.62205,  1.00, -0.61417, -0.20472,  0.76378,  1.00,  0.27588,  0.7627,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
918, 154, -275.22339,  322.93768,  111.65262,  0.77953,  0.00,  0.62205,  1.00, -0.61417, -0.20472,  0.76378,  1.00,  0.27588,  0.7627,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
919, 185, -306.47153,  331.68491,  65.69424,  0.76378,  0.00787,  0.6378,  1.00, -0.51969,  0.59055,  0.61417,  1.00,  0.25024,  0.77002,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
920, 153, -309.32379,  346.84921,  41.57873,  0.77953,  0.03937,  0.62205,  1.00, -0.59843,  0.35433,  0.72441,  1.00,  0.24805,  0.78223,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
921, 180, -276.14807,  297.84863,  87.76238,  0.68504,  0.00,  0.72441,  1.00, -0.72441,  0.11024,  0.68504,  1.00,  0.27515,  0.74219,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
922, 186, -315.51605,  321.06149,  70.60513,  0.98425, -0.01575,  0.1811,  1.00, -0.15748,  0.44882,  0.88189,  1.00,  0.24304,  0.76123,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
923, 185, -306.47153,  331.68491,  65.69424,  0.76378,  0.00787,  0.6378,  1.00, -0.51969,  0.59055,  0.61417,  1.00,  0.25024,  0.77002,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
924, 186, -315.51605,  321.06149,  70.60513,  0.98425, -0.01575,  0.1811,  1.00, -0.15748,  0.44882,  0.88189,  1.00,  0.24304,  0.76123,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
925, 153, -309.32379,  346.84921,  41.57873,  0.77953,  0.03937,  0.62205,  1.00, -0.59843,  0.35433,  0.72441,  1.00,  0.24805,  0.78223,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
926, 185, -306.47153,  331.68491,  65.69424,  0.76378,  0.00787,  0.6378,  1.00, -0.51969,  0.59055,  0.61417,  1.00,  0.25024,  0.77002,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
927, 183, -295.87607,  278.7366,  78.93005,  0.77165,  0.00,  0.6378,  1.00, -0.62205,  0.19685,  0.75591,  1.00,  0.25903,  0.72656,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
928, 186, -315.51605,  321.06149,  70.60513,  0.98425, -0.01575,  0.1811,  1.00, -0.15748,  0.44882,  0.88189,  1.00,  0.24304,  0.76123,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
929, 180, -276.14807,  297.84863,  87.76238,  0.68504,  0.00,  0.72441,  1.00, -0.72441,  0.11024,  0.68504,  1.00,  0.27515,  0.74219,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
930, 186, -315.51605,  321.06149,  70.60513,  0.98425, -0.01575,  0.1811,  1.00, -0.15748,  0.44882,  0.88189,  1.00,  0.24304,  0.76123,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
931, 156, -336.90247,  340.64761,  46.56357,  0.98425, -0.01575, -0.19685,  1.00,  0.17323,  0.51969,  0.83465,  1.00,  0.22559,  0.77734,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
932, 153, -309.32379,  346.84921,  41.57873,  0.77953,  0.03937,  0.62205,  1.00, -0.59843,  0.35433,  0.72441,  1.00,  0.24805,  0.78223,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
933, 183, -295.87607,  278.7366,  78.93005,  0.77165,  0.00,  0.6378,  1.00, -0.62205,  0.19685,  0.75591,  1.00,  0.25903,  0.72656,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
934, 187, -337.31387,  286.87766,  68.2726,  0.99213,  0.00, -0.09449,  1.00,  0.09449, -0.07087,  0.99213,  1.00,  0.22534,  0.7334,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
935, 186, -315.51605,  321.06149,  70.60513,  0.98425, -0.01575,  0.1811,  1.00, -0.15748,  0.44882,  0.88189,  1.00,  0.24304,  0.76123,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
936, 188, -339.27551,  307.25488,  79.29907,  0.99213,  0.00, -0.13386,  1.00,  0.13386,  0.0315,  0.99213,  1.00,  0.22375,  0.75,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
937, 156, -336.90247,  340.64761,  46.56357,  0.98425, -0.01575, -0.19685,  1.00,  0.17323,  0.51969,  0.83465,  1.00,  0.22559,  0.77734,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
938, 186, -315.51605,  321.06149,  70.60513,  0.98425, -0.01575,  0.1811,  1.00, -0.15748,  0.44882,  0.88189,  1.00,  0.24304,  0.76123,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
939, 187, -337.31387,  286.87766,  68.2726,  0.99213,  0.00, -0.09449,  1.00,  0.09449, -0.07087,  0.99213,  1.00,  0.22534,  0.7334,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
940, 188, -339.27551,  307.25488,  79.29907,  0.99213,  0.00, -0.13386,  1.00,  0.13386,  0.0315,  0.99213,  1.00,  0.22375,  0.75,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
941, 186, -315.51605,  321.06149,  70.60513,  0.98425, -0.01575,  0.1811,  1.00, -0.15748,  0.44882,  0.88189,  1.00,  0.24304,  0.76123,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
942, 188, -339.27551,  307.25488,  79.29907,  0.99213,  0.00, -0.13386,  1.00,  0.13386,  0.0315,  0.99213,  1.00,  0.22375,  0.75,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
943, 189, -363.6062,  316.07065,  75.32286,  0.90551,  0.01575,  0.4252,  1.00, -0.40945,  0.27559,  0.86614,  1.00,  0.20386,  0.75732,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
944, 156, -336.90247,  340.64761,  46.56357,  0.98425, -0.01575, -0.19685,  1.00,  0.17323,  0.51969,  0.83465,  1.00,  0.22559,  0.77734,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
945, 183, -295.87607,  278.7366,  78.93005,  0.77165,  0.00,  0.6378,  1.00, -0.62205,  0.19685,  0.75591,  1.00,  0.25903,  0.72656,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
946, 190, -313.35489,  256.00253,  65.31059,  0.92913, -0.00787,  0.3622,  1.00, -0.35433,  0.24409,  0.90551,  1.00,  0.24475,  0.70801,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
947, 187, -337.31387,  286.87766,  68.2726,  0.99213,  0.00, -0.09449,  1.00,  0.09449, -0.07087,  0.99213,  1.00,  0.22534,  0.7334,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
948, 184, -278.49615,  246.66379,  141.0451,  0.6063,  0.00787,  0.79528,  1.00, -0.70866,  0.44882,  0.53543,  1.00,  0.27319,  0.70068,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
949, 190, -313.35489,  256.00253,  65.31059,  0.92913, -0.00787,  0.3622,  1.00, -0.35433,  0.24409,  0.90551,  1.00,  0.24475,  0.70801,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
950, 183, -295.87607,  278.7366,  78.93005,  0.77165,  0.00,  0.6378,  1.00, -0.62205,  0.19685,  0.75591,  1.00,  0.25903,  0.72656,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
951, 187, -337.31387,  286.87766,  68.2726,  0.99213,  0.00, -0.09449,  1.00,  0.09449, -0.07087,  0.99213,  1.00,  0.22534,  0.7334,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
952, 191, -364.61151,  295.56839,  70.11736,  0.87402,  0.00,  0.48819,  1.00, -0.48819,  0.0315,  0.87402,  1.00,  0.20313,  0.74023,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
953, 188, -339.27551,  307.25488,  79.29907,  0.99213,  0.00, -0.13386,  1.00,  0.13386,  0.0315,  0.99213,  1.00,  0.22375,  0.75,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
954, 191, -364.61151,  295.56839,  70.11736,  0.87402,  0.00,  0.48819,  1.00, -0.48819,  0.0315,  0.87402,  1.00,  0.20313,  0.74023,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
955, 189, -363.6062,  316.07065,  75.32286,  0.90551,  0.01575,  0.4252,  1.00, -0.40945,  0.27559,  0.86614,  1.00,  0.20386,  0.75732,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
956, 188, -339.27551,  307.25488,  79.29907,  0.99213,  0.00, -0.13386,  1.00,  0.13386,  0.0315,  0.99213,  1.00,  0.22375,  0.75,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
957, 190, -313.35489,  256.00253,  65.31059,  0.92913, -0.00787,  0.3622,  1.00, -0.35433,  0.24409,  0.90551,  1.00,  0.24475,  0.70801,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
958, 192, -339.60165,  254.67429,  72.53813,  0.87402,  0.00787, -0.48031,  1.00,  0.44882,  0.34646,  0.8189,  1.00,  0.22339,  0.70703,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
959, 187, -337.31387,  286.87766,  68.2726,  0.99213,  0.00, -0.09449,  1.00,  0.09449, -0.07087,  0.99213,  1.00,  0.22534,  0.7334,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
960, 189, -363.6062,  316.07065,  75.32286,  0.90551,  0.01575,  0.4252,  1.00, -0.40945,  0.27559,  0.86614,  1.00,  0.20386,  0.75732,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
961, 193, -366.2049,  337.15305,  58.35648,  0.97638,  0.00787,  0.22835,  1.00, -0.22047,  0.3622,  0.90551,  1.00,  0.20178,  0.77441,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
962, 156, -336.90247,  340.64761,  46.56357,  0.98425, -0.01575, -0.19685,  1.00,  0.17323,  0.51969,  0.83465,  1.00,  0.22559,  0.77734,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
963, 156, -336.90247,  340.64761,  46.56357,  0.98425, -0.01575, -0.19685,  1.00,  0.17323,  0.51969,  0.83465,  1.00,  0.22559,  0.77734,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
964, 193, -366.2049,  337.15305,  58.35648,  0.97638,  0.00787,  0.22835,  1.00, -0.22047,  0.3622,  0.90551,  1.00,  0.20178,  0.77441,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
965, 150, -333.79611,  382.18427,  36.39879,  0.94488,  0.00, -0.33071,  1.00,  0.31496,  0.30709,  0.89764,  1.00,  0.22815,  0.81104,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
966, 192, -339.60165,  254.67429,  72.53813,  0.87402,  0.00787, -0.48031,  1.00,  0.44882,  0.34646,  0.8189,  1.00,  0.22339,  0.70703,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
967, 194, -358.93951,  263.99365,  83.29232,  1.00, -0.00787, -0.07874,  1.00,  0.07874,  0.3622,  0.92913,  1.00,  0.20764,  0.71484,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
968, 187, -337.31387,  286.87766,  68.2726,  0.99213,  0.00, -0.09449,  1.00,  0.09449, -0.07087,  0.99213,  1.00,  0.22534,  0.7334,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
969, 194, -358.93951,  263.99365,  83.29232,  1.00, -0.00787, -0.07874,  1.00,  0.07874,  0.3622,  0.92913,  1.00,  0.20764,  0.71484,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
970, 191, -364.61151,  295.56839,  70.11736,  0.87402,  0.00,  0.48819,  1.00, -0.48819,  0.0315,  0.87402,  1.00,  0.20313,  0.74023,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
971, 187, -337.31387,  286.87766,  68.2726,  0.99213,  0.00, -0.09449,  1.00,  0.09449, -0.07087,  0.99213,  1.00,  0.22534,  0.7334,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
972, 195, -324.0065,  230.28487,  80.5565,  0.97638,  0.00,  0.19685,  1.00, -0.18898,  0.37008,  0.90551,  1.00,  0.23608,  0.68701,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
973, 192, -339.60165,  254.67429,  72.53813,  0.87402,  0.00787, -0.48031,  1.00,  0.44882,  0.34646,  0.8189,  1.00,  0.22339,  0.70703,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
974, 190, -313.35489,  256.00253,  65.31059,  0.92913, -0.00787,  0.3622,  1.00, -0.35433,  0.24409,  0.90551,  1.00,  0.24475,  0.70801,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
975, 195, -324.0065,  230.28487,  80.5565,  0.97638,  0.00,  0.19685,  1.00, -0.18898,  0.37008,  0.90551,  1.00,  0.23608,  0.68701,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
976, 194, -358.93951,  263.99365,  83.29232,  1.00, -0.00787, -0.07874,  1.00,  0.07874,  0.3622,  0.92913,  1.00,  0.20764,  0.71484,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
977, 192, -339.60165,  254.67429,  72.53813,  0.87402,  0.00787, -0.48031,  1.00,  0.44882,  0.34646,  0.8189,  1.00,  0.22339,  0.70703,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
978, 196, -283.90378,  222.97618,  139.20039,  0.62205,  0.00,  0.77953,  1.00, -0.72441,  0.37795,  0.5748,  1.00,  0.2688,  0.68115,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
979, 190, -313.35489,  256.00253,  65.31059,  0.92913, -0.00787,  0.3622,  1.00, -0.35433,  0.24409,  0.90551,  1.00,  0.24475,  0.70801,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
980, 184, -278.49615,  246.66379,  141.0451,  0.6063,  0.00787,  0.79528,  1.00, -0.70866,  0.44882,  0.53543,  1.00,  0.27319,  0.70068,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
981, 195, -324.0065,  230.28487,  80.5565,  0.97638,  0.00,  0.19685,  1.00, -0.18898,  0.37008,  0.90551,  1.00,  0.23608,  0.68701,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
982, 190, -313.35489,  256.00253,  65.31059,  0.92913, -0.00787,  0.3622,  1.00, -0.35433,  0.24409,  0.90551,  1.00,  0.24475,  0.70801,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
983, 196, -283.90378,  222.97618,  139.20039,  0.62205,  0.00,  0.77953,  1.00, -0.72441,  0.37795,  0.5748,  1.00,  0.2688,  0.68115,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
984, 181, -224.56259,  236.41127,  218.30093,  0.79528,  0.02362,  0.6063,  1.00, -0.5748,  0.3622,  0.73228,  1.00,  0.31714,  0.69238,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
985, 197, -242.46649,  205.38551,  191.80382,  0.6378,  0.00,  0.77165,  1.00, -0.77165,  0.06299,  0.6378,  1.00,  0.30249,  0.66699,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
986, 184, -278.49615,  246.66379,  141.0451,  0.6063,  0.00787,  0.79528,  1.00, -0.70866,  0.44882,  0.53543,  1.00,  0.27319,  0.70068,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
987, 197, -242.46649,  205.38551,  191.80382,  0.6378,  0.00,  0.77165,  1.00, -0.77165,  0.06299,  0.6378,  1.00,  0.30249,  0.66699,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
988, 196, -283.90378,  222.97618,  139.20039,  0.62205,  0.00,  0.77953,  1.00, -0.72441,  0.37795,  0.5748,  1.00,  0.2688,  0.68115,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
989, 184, -278.49615,  246.66379,  141.0451,  0.6063,  0.00787,  0.79528,  1.00, -0.70866,  0.44882,  0.53543,  1.00,  0.27319,  0.70068,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
990, 179, -199.80154,  215.32478,  248.92328,  0.9685,  0.00,  0.23622,  1.00, -0.23622, -0.04724,  0.9685,  1.00,  0.33716,  0.67529,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
991, 197, -242.46649,  205.38551,  191.80382,  0.6378,  0.00,  0.77165,  1.00, -0.77165,  0.06299,  0.6378,  1.00,  0.30249,  0.66699,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
992, 181, -224.56259,  236.41127,  218.30093,  0.79528,  0.02362,  0.6063,  1.00, -0.5748,  0.3622,  0.73228,  1.00,  0.31714,  0.69238,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
993, 198, -318.70273,  222.18736,  82.78687,  0.83465,  0.00787,  0.55118,  1.00, -0.53543,  0.25197,  0.80315,  1.00,  0.24048,  0.68066,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
